Status,Transaction ID,ID,Shipping,Total
Cancelled,4502,594,0.0,1116.0
Completed,4506,617,0.0,2272.0
Cancelled,4510,618,78.26,234.26
Completed,4513,536,0.0,1038.8
Completed,4516,619,0.0,459.6
Completed,4520,620,0.0,406.5
Cancelled,4534,621,0.0,2994.0
Completed,4537,622,0.0,588.0
Cancelled,4542,623,0.0,420.3
Completed,4546,624,0.0,588.0
Completed,4549,625,0.0,607.8
Cancelled,4552,606,0.0,422.0
Cancelled,4554,626,0.0,479.8
Completed,4557,621,0.0,2994.0
Completed,4559,627,0.0,943.55
Cancelled,4565,628,0.0,536.0
Completed,4567,614,0.0,435.3
Completed,4573,629,0.0,609.0
Cancelled,4574,630,27.64,95.94
Cancelled,4577,631,0.0,408.0
Completed,4581,632,0.0,448.0
Cancelled,4595,633,0.0,499.0
Cancelled,4599,634,0.0,539.8
Cancelled,4601,631,0.0,408.0
Completed,4607,635,0.0,492.8
Completed,4612,255,0.0,1420.9
Completed,4617,636,0.0,1308.0
Cancelled,4620,637,32.79,71.09
Cancelled,4623,638,34.18,178.18
Cancelled,4624,639,0.0,477.3
Cancelled,4632,640,15.0,201.0
Completed,4635,633,0.0,499.0
Completed,4643,641,0.0,588.0
Completed,4648,642,0.0,436.9
Completed,4651,486,0.0,1148.0
Cancelled,4653,643,0.0,919.2
Cancelled,4657,644,15.0,260.9
Cancelled,4660,644,15.0,260.9
Completed,4676,645,0.0,2198.0
Cancelled,4683,646,57.84,505.84
Completed,4684,646,0.0,448.0
Completed,4688,647,0.0,442.2
Completed,4693,648,0.0,816.0
Cancelled,4695,649,0.0,1374.0
Cancelled,4696,464,0.0,432.0
Completed,4697,464,0.0,432.0
Cancelled,4699,464,0.0,709.0
Cancelled,4705,650,0.0,1196.8
